Company,Industry,Revenue_B,Employees,MA_Activity,IT_Budget_M,Decision_Maker,Contact_Title,Pain_Points,Pilot_Fit,Priority
JPMorgan Chase,Financial Services,119.5,271025,High,2500,Jamie Dimon,CTO/CISO,Regulatory Compliance,High,1
Berkshire Hathaway,Conglomerate,276.1,383000,Very High,1800,Warren Buffett,CIO,Complex Multi-Entity,High,1
Bank of America,Financial Services,89.1,213000,High,2200,Brian Moynihan,CTO,Risk Management,High,1
Apple,Technology,365.8,154000,Medium,3500,Tim Cook,VP IT,Integration Speed,Medium,2
Microsoft,Technology,198.3,181000,High,4000,Satya Nadella,CVP Engineering,Scale Challenges,High,1
Alphabet,Technology,257.6,156500,High,5000,Sundar Pichai,VP Infrastructure,Security Complexity,High,1
Amazon,E-commerce,386.1,1540000,Very High,8000,Andy Jassy,VP Corporate IT,Massive Scale,High,1
Tesla,Automotive,53.8,99290,High,800,Elon Musk,VP IT,Rapid Growth,High,2
Meta,Technology,85.9,67317,Medium,2500,Mark Zuckerberg,VP Infrastructure,Privacy Compliance,Medium,2
UnitedHealth,Healthcare,324.2,400000,High,1500,Andrew Witty,CIO,HIPAA Compliance,High,1
Johnson & Johnson,Healthcare,94.9,144500,Very High,1200,Joaquin Duato,CTO,Regulatory Audit,High,1
Exxon Mobil,Energy,413.7,64000,High,900,Darren Woods,CIO,Legacy Systems,High,2
Procter & Gamble,Consumer Goods,80.2,101000,Medium,600,David Taylor,CIO,Brand Integration,Medium,3
Walmart,Retail,572.8,2100000,High,2000,Doug McMillon,CTO,Retail Systems,High,2
Chevron,Energy,162.5,45600,High,700,Mike Wirth,CIO,Energy Compliance,High,2
AT&T,Telecommunications,120.7,202700,High,1800,John Stankey,CTO,Network Integration,High,2
Verizon,Telecommunications,136.8,117100,Medium,1600,Hans Vestberg,CTO,5G Infrastructure,Medium,3
Home Depot,Retail,151.2,506600,Medium,800,Ted Decker,CIO,Supply Chain,Medium,3
Mastercard,Financial Services,18.9,24000,High,400,Michael Miebach,CTO,Payment Security,High,1
Visa,Financial Services,24.1,26500,High,500,Al Kelly,CTO,Transaction Security,High,1
Intel,Technology,79.0,121100,Medium,1500,Pat Gelsinger,CTO,Chip Integration,Medium,2
IBM,Technology,60.5,297900,Medium,2000,Arvind Krishna,SVP Technology,Legacy Modernization,Medium,2
Oracle,Technology,42.4,143000,High,1200,Safra Catz,CTO,Database Migration,High,2
Salesforce,Technology,26.5,73541,High,800,Marc Benioff,CTO,Cloud Integration,High,2
Netflix,Technology,29.7,11300,Low,600,Reed Hastings,CTO,Content Systems,Low,4
Adobe,Technology,15.8,24000,Medium,500,Shantanu Narayen,CTO,Creative Cloud,Medium,3
PayPal,Financial Services,25.4,29900,Medium,600,Dan Schulman,CTO,Payment Systems,Medium,2
Goldman Sachs,Financial Services,44.6,40000,Very High,1000,David Solomon,CTO,Investment Banking,High,1
Morgan Stanley,Financial Services,48.8,75000,High,900,James Gorman,CTO,Wealth Management,High,1
Citigroup,Financial Services,71.9,210000,High,1500,Jane Fraser,CTO,Global Banking,High,1
Wells Fargo,Financial Services,78.5,268531,High,1800,Charlie Scharf,CTO,Retail Banking,High,1
American Express,Financial Services,47.1,64000,Medium,800,Stephen Squeri,CTO,Card Services,Medium,2
Capital One,Financial Services,28.5,52000,High,700,Richard Fairbank,CTO,Digital Banking,High,2
BlackRock,Financial Services,16.2,18400,High,400,Larry Fink,CTO,Asset Management,High,1
Pfizer,Healthcare,100.3,79000,Very High,800,Albert Bourla,CIO,Drug Development,High,1
Merck,Healthcare,48.7,68000,High,600,Robert Davis,CIO,Pharmaceutical,High,1
AbbVie,Healthcare,56.2,47000,High,500,Richard Gonzalez,CIO,Biotech Integration,High,1
Bristol Myers Squibb,Healthcare,46.4,34300,High,450,Giovanni Caforio,CIO,Oncology Focus,High,1
Abbott,Healthcare,43.1,109000,Medium,550,Robert Ford,CIO,Medical Devices,Medium,2
Medtronic,Healthcare,30.1,95000,Medium,400,Geoff Martha,CIO,Device Integration,Medium,2
General Electric,Conglomerate,74.2,174000,High,1100,Larry Culp,CIO,Industrial IoT,High,2
Boeing,Aerospace,58.2,142000,Medium,800,Dave Calhoun,CIO,Defense Systems,Medium,2
Lockheed Martin,Aerospace,65.4,114000,Medium,700,James Taiclet,CIO,Defense Integration,Medium,2