EdgeId,SourceNodeId,TargetNodeId,RelationshipType,Color,Thickness,IsDirectional,Weight,Description,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
EDGE001,NODE001,NODE013,DNS_Dependency,#666666,2,True,8,Domain Controller depends on DNS Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE002,NODE002,NODE013,DNS_Dependency,#666666,2,True,8,Secondary DC depends on DNS Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE003,NODE001,NODE002,Replication,#4CAF50,3,False,9,Domain Controller replication,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE004,NODE003,NODE001,Authentication,#2196F3,2,True,7,SQL Server authenticates against Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE005,NODE004,NODE001,Authentication,#FF9800,2,True,7,Exchange authenticates against Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE006,NODE004,NODE003,Database_Connection,#FF9800,3,True,9,Exchange uses SQL Server for mailbox database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE007,NODE005,NODE001,Authentication,#9C27B0,2,True,6,File Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE008,NODE006,NODE001,Authentication,#F44336,2,True,6,Web Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE009,NODE006,NODE003,Database_Connection,#F44336,3,True,8,Web Server connects to SQL Database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE010,NODE007,NODE001,Authentication,#607D8B,2,True,7,App Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE011,NODE007,NODE003,Database_Connection,#607D8B,4,True,10,App Server heavily uses SQL Database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE012,NODE008,NODE009,Network_Connection,#E91E63,3,True,9,Firewall connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE013,NODE009,NODE001,Network_Connection,#00BCD4,2,True,8,Core switch connects to Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE014,NODE009,NODE002,Network_Connection,#00BCD4,2,True,8,Core switch connects to Secondary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE015,NODE009,NODE003,Network_Connection,#00BCD4,3,True,9,Core switch connects to SQL Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE016,NODE009,NODE004,Network_Connection,#00BCD4,3,True,9,Core switch connects to Exchange Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE017,NODE009,NODE005,Network_Connection,#00BCD4,2,True,7,Core switch connects to File Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE018,NODE009,NODE006,Network_Connection,#00BCD4,2,True,7,Core switch connects to Web Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE019,NODE009,NODE007,Network_Connection,#00BCD4,3,True,8,Core switch connects to App Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE020,NODE010,NODE003,Backup_Relationship,#795548,2,True,6,Backup Server backs up SQL Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE021,NODE010,NODE005,Backup_Relationship,#795548,2,True,6,Backup Server backs up File Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE022,NODE010,NODE004,Backup_Relationship,#795548,3,True,8,Backup Server backs up Exchange Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE023,NODE011,NODE001,Authentication,#3F51B5,2,True,6,Hyper-V Host authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE024,NODE011,NODE012,Storage_Connection,#3F51B5,3,True,8,Hyper-V Host uses NAS for VM storage,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE025,NODE012,NODE009,Network_Connection,#8BC34A,2,True,7,NAS connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE026,NODE014,NODE009,Network_Connection,#FFC107,2,True,7,DHCP Server connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE027,NODE014,NODE001,Authentication,#FFC107,2,True,6,DHCP Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE028,NODE015,NODE001,Authentication,#FF5722,2,True,5,Print Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE029,NODE015,NODE009,Network_Connection,#FF5722,2,True,5,Print Server connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE030,NODE016,NODE018,Cloud_Federation,#0078D4,4,False,10,Office 365 federates with Azure AD,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE031,NODE018,NODE001,Directory_Sync,#0078D4,3,True,9,Azure AD syncs with on-premises AD,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE032,NODE017,NODE008,Internet_Connection,#666666,4,True,10,Internet gateway connects through firewall,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE033,NODE019,NODE009,Network_Connection,#4CAF50,2,True,7,Monitoring Server connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE034,NODE019,NODE001,Monitoring_Relationship,#4CAF50,2,True,6,Monitoring Server monitors Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE035,NODE019,NODE003,Monitoring_Relationship,#4CAF50,2,True,7,Monitoring Server monitors SQL Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE036,NODE019,NODE004,Monitoring_Relationship,#4CAF50,2,True,7,Monitoring Server monitors Exchange Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE037,NODE020,NODE001,Power_Dependency,#FF9800,3,True,9,Primary DC depends on UPS power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE038,NODE020,NODE003,Power_Dependency,#FF9800,4,True,10,SQL Server depends on UPS power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE039,NODE020,NODE004,Power_Dependency,#FF9800,3,True,9,Exchange Server depends on UPS power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE040,NODE020,NODE009,Power_Dependency,#FF9800,4,True,10,Core switch depends on UPS power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE041,NODE021,NODE003,Database_Connection,#FF5722,2,True,4,Legacy Server connects to SQL Database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE042,NODE022,NODE021,Application_Dependency,#D32F2F,3,True,6,Legacy Database supports Legacy Application,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE043,NODE023,NODE024,Development_Relationship,#2196F3,2,False,5,Development Database and Web Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE044,NODE025,NODE009,Network_Connection,#8BC34A,2,True,6,Branch DC connects through WAN to core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE045,NODE025,NODE001,Replication,#8BC34A,3,True,8,Branch DC replicates with Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE046,NODE026,NODE008,Security_Relationship,#9C27B0,3,True,8,VPN Concentrator works with Firewall,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE047,NODE026,NODE001,Authentication,#9C27B0,2,True,7,VPN authenticates against Primary DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE048,NODE027,NODE006,Load_Balance,#607D8B,3,True,8,Load Balancer distributes traffic to Web Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE049,NODE027,NODE007,Load_Balance,#607D8B,3,True,8,Load Balancer distributes traffic to App Server,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE050,NODE028,NODE001,PKI_Relationship,#795548,2,True,6,Certificate Authority integrates with AD,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE051,NODE028,NODE009,Network_Connection,#795548,2,True,6,Certificate Authority connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE052,NODE029,NODE001,Authentication,#03DAC6,2,True,6,WSUS Server authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE053,NODE029,NODE009,Network_Connection,#03DAC6,2,True,7,WSUS Server connects through core switch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE054,NODE030,NODE001,Authentication,#0078D4,2,True,7,SharePoint authenticates against DC,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
EDGE055,NODE030,NODE003,Database_Connection,#0078D4,3,True,9,SharePoint uses SQL Server for content database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001