Name,DisplayName,Path,Domain,LinkedOUs,Enabled,ComputerSettingsEnabled,UserSettingsEnabled,HasWMIFilter,WMIFilter,SecurityFiltering,PolicySettings,CreatedTime,ModifiedTime,Description,Owner,LastModifiedBy,Version,Status
Default Domain Policy,Default Domain Policy,CN={31B2F340-016D-11D2-945F-00C04FB984F9},contoso.com,DC=contoso,DC=com,True,True,True,False,,Authenticated Users,Password Policy,2024-01-15T10:30:00Z,2024-03-01T14:20:00Z,Default domain security policy,Domain Admins,Administrator,12,Active
Default Domain Controllers Policy,Default Domain Controllers Policy,CN={6AC1786C-016F-11D2-945F-00C04fB984F9},contoso.com,OU=Domain Controllers,True,True,False,False,,Domain Controllers,Security Settings,2024-01-15T10:30:00Z,2024-02-15T09:15:00Z,Default domain controller security policy,Domain Admins,System,8,Active
Workstation Security Policy,Workstation Security Policy,CN={A26B3B52-1A2B-4C3D-9E8F-1234567890AB},contoso.com,OU=Workstations,True,True,False,True,Computer Model = Desktop,Workstation Users,Security Configuration,2024-02-01T08:45:00Z,2024-03-10T16:30:00Z,Enhanced security policy for desktop workstations,Security Team,SecurityAdmin,5,Active
Server Hardening Policy,Server Hardening Policy,CN={B37C4D63-2B3C-5D4E-AF9G-2345678901BC},contoso.com,OU=Servers,True,True,False,False,,Server Operators,Administrative Settings,2024-01-20T11:00:00Z,2024-03-05T13:45:00Z,Hardening policy for production servers,Infrastructure Team,ServerAdmin,7,Active
User Desktop Settings,User Desktop Settings,CN={C48D5E74-3C4D-6E5F-BG0H-3456789012CD},contoso.com,OU=Users,True,False,True,False,,Domain Users,Desktop Configuration,2024-02-10T09:30:00Z,2024-03-12T11:20:00Z,Standard user desktop environment settings,IT Support,UserAdmin,3,Active
Remote Desktop Policy,Remote Desktop Policy,CN={D59E6F85-4D5E-7F6G-CH1I-4567890123DE},contoso.com,OU=Remote Users,True,True,True,False,,Remote Desktop Users,Remote Access Settings,2024-02-15T14:15:00Z,2024-03-08T10:10:00Z,Policy for remote desktop access,Security Team,RemoteAdmin,4,Active
Software Deployment Policy,Software Deployment Policy,CN={E60F7G96-5E6F-8G7H-DI2J-5678901234EF},contoso.com,OU=Workstations,True,True,False,False,,Domain Users,Software Installation,2024-01-25T13:20:00Z,2024-03-15T08:50:00Z,Automated software deployment configuration,Application Team,SoftwareAdmin,6,Active
Printer Management Policy,Printer Management Policy,CN={F71G8H07-6F7G-9H8I-EJ3K-6789012345FG},contoso.com,OU=Print Servers,True,True,False,False,,Print Operators,Printer Settings,2024-02-05T15:40:00Z,2024-02-28T12:35:00Z,Centralized printer management,Print Team,PrintAdmin,2,Active
PowerShell Execution Policy,PowerShell Execution Policy,CN={G82H9I18-7G8H-AI9J-FK4L-7890123456GH},contoso.com,OU=Administrative,True,True,True,True,User Role = Administrator,IT Administrators,Administrative Scripts,2024-02-20T07:25:00Z,2024-03-18T15:15:00Z,PowerShell security and execution policy,Security Team,ScriptAdmin,9,Warning
Network Drive Mapping,Network Drive Mapping,CN={H93IA29-8H9I-BJ0K-GL5M-8901234567HI},contoso.com,OU=Users,True,False,True,False,,Domain Users,Drive Mapping,2024-01-30T16:50:00Z,2024-03-07T14:25:00Z,Automatic network drive mapping for users,IT Support,NetworkAdmin,4,Active
Windows Update Policy,Windows Update Policy,CN={I04JB3A-9I0J-CK1L-HM6N-9012345678IJ},contoso.com,DC=contoso,DC=com,True,True,False,False,,Authenticated Users,Windows Update Settings,2024-01-18T12:10:00Z,2024-03-20T09:40:00Z,Centralized Windows Update management,Infrastructure Team,UpdateAdmin,11,Active
Legacy Application Policy,Legacy Application Policy,CN={J15KC4B-AI1K-DL2M-IN7O-0123456789JK},contoso.com,OU=Legacy Systems,False,True,False,False,,Legacy App Users,Application Compatibility,2024-01-10T10:00:00Z,2024-01-10T10:00:00Z,Compatibility settings for legacy applications,Application Team,LegacyAdmin,1,Disabled
Mobile Device Management,Mobile Device Management,CN={K26LD5C-BJ2L-EM3N-JO8P-1234567890KL},contoso.com,OU=Mobile Users,True,True,True,True,Device Type = Mobile,Mobile Device Users,Device Configuration,2024-02-25T11:35:00Z,2024-03-22T16:20:00Z,Mobile device security and configuration,Security Team,MobileAdmin,8,Active
Audit Policy Configuration,Audit Policy Configuration,CN={L37ME6D-CK3M-FN4O-KP9Q-2345678901LM},contoso.com,DC=contoso,DC=com,True,True,False,False,,Domain Controllers,Audit Settings,2024-01-22T14:30:00Z,2024-03-14T11:55:00Z,Comprehensive audit policy for compliance,Compliance Team,AuditAdmin,6,Active
Guest Account Policy,Guest Account Policy,CN={M48NF7E-DL4N-GO5P-LQ0R-3456789012MN},contoso.com,OU=Guest Users,True,True,True,False,,Guest Users,Security Restrictions,2024-02-12T08:20:00Z,2024-03-06T13:10:00Z,Restricted policy for guest access,Security Team,GuestAdmin,3,Active