Id,Name,Description,Owner,StartDate,EndDate,Status,Progress,IsCriticalPath,Dependencies,Phase,Category
1,"Project Kickoff","Initialize project and setup team structure","Project Manager","2024-08-01","2024-08-03","Completed",100,true,"","Initiation","Management"
2,"Stakeholder Analysis","Identify and engage key stakeholders","Business Analyst","2024-08-02","2024-08-05","Completed",100,false,"1","Initiation","Analysis"
3,"Risk Assessment","Conduct initial risk assessment","Risk Manager","2024-08-04","2024-08-08","Completed",100,true,"2","Initiation","Risk Management"
4,"Infrastructure Discovery","Discover current infrastructure components","Infrastructure Lead","2024-08-06","2024-08-15","In Progress",75,true,"3","Discovery","Technical"
5,"Application Inventory","Create comprehensive application inventory","Application Lead","2024-08-08","2024-08-18","In Progress",65,true,"4","Discovery","Technical"
6,"User Account Analysis","Analyze user accounts and permissions","Security Lead","2024-08-10","2024-08-20","In Progress",50,false,"5","Discovery","Security"
7,"Data Classification","Classify and categorize business data","Data Lead","2024-08-12","2024-08-25","Not Started",0,true,"6","Discovery","Data"
8,"Network Topology Mapping","Map current network infrastructure","Network Engineer","2024-08-15","2024-08-28","Not Started",0,true,"4","Discovery","Network"
9,"Security Assessment","Assess current security posture","Security Lead","2024-08-18","2024-09-02","Not Started",0,false,"6","Discovery","Security"
10,"Migration Wave Planning","Plan migration waves and timelines","Migration Manager","2024-08-20","2024-09-05","Not Started",0,true,"7,8","Planning","Strategy"
11,"Resource Allocation","Allocate resources to migration waves","Resource Manager","2024-08-25","2024-09-08","Not Started",0,true,"10","Planning","Resource"
12,"Test Environment Setup","Setup test environment for migrations","DevOps Lead","2024-08-28","2024-09-10","Not Started",0,true,"8","Preparation","Environment"
13,"Migration Scripts Development","Develop automation scripts for migration","DevOps Engineer","2024-09-01","2024-09-15","Not Started",0,true,"12","Preparation","Automation"
14,"User Communication Plan","Develop user communication strategy","Communications Lead","2024-09-03","2024-09-12","Not Started",0,false,"10","Planning","Communication"
15,"Wave 1: Core Infrastructure","Migrate core infrastructure services","Infrastructure Lead","2024-09-10","2024-09-25","Not Started",0,true,"11,13","Execution","Migration"
16,"Wave 1: Testing & Validation","Test core infrastructure migration","QA Lead","2024-09-20","2024-09-30","Not Started",0,true,"15","Execution","Testing"
17,"Wave 2: Business Applications","Migrate critical business applications","Application Lead","2024-09-25","2024-10-15","Not Started",0,true,"16","Execution","Migration"
18,"Wave 2: Data Migration","Migrate business data","Data Migration Lead","2024-10-05","2024-10-20","Not Started",0,true,"17","Execution","Data"
19,"Wave 2: Testing & Validation","Test application and data migration","QA Lead","2024-10-15","2024-10-25","Not Started",0,true,"18","Execution","Testing"
20,"Wave 3: User Accounts","Migrate user accounts and profiles","Identity Lead","2024-10-20","2024-11-05","Not Started",0,true,"19","Execution","Identity"
21,"Wave 3: User Training","Train users on new systems","Training Lead","2024-10-25","2024-11-10","Not Started",0,false,"20","Execution","Training"
22,"Wave 3: Testing & Validation","Test user migration and systems","QA Lead","2024-11-05","2024-11-15","Not Started",0,true,"21","Execution","Testing"
23,"Go-Live Preparation","Prepare for production go-live","Project Manager","2024-11-10","2024-11-20","Not Started",0,true,"22","Go-Live","Management"
24,"Production Cutover","Execute production cutover","Migration Manager","2024-11-20","2024-11-22","Not Started",0,true,"23","Go-Live","Execution"
25,"Post-Migration Monitoring","Monitor systems post-migration","Operations Lead","2024-11-22","2024-12-02","Not Started",0,true,"24","Post-Migration","Monitoring"
26,"Issue Resolution","Resolve post-migration issues","Support Team","2024-11-24","2024-12-05","Not Started",0,false,"25","Post-Migration","Support"
27,"Performance Optimization","Optimize system performance","Performance Engineer","2024-11-28","2024-12-10","Not Started",0,false,"25","Post-Migration","Optimization"
28,"Security Hardening","Implement security hardening measures","Security Lead","2024-12-01","2024-12-15","Not Started",0,true,"25","Post-Migration","Security"
29,"Documentation Completion","Complete project documentation","Technical Writer","2024-12-05","2024-12-20","Not Started",0,false,"27,28","Closure","Documentation"
30,"Project Closure","Close project and conduct lessons learned","Project Manager","2024-12-15","2024-12-22","Not Started",0,true,"29","Closure","Management"