ReportName,Description,ReportType,Category,CreatedBy,CreatedDate,ModifiedDate,LastExecuted,Status,DataSources,Columns,Filters,Recipients,Schedule,Format,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
User Account Summary,Complete summary of all user accounts in the domain,Tabular,Security,"John Smith",2025-01-15 10:30:00,2025-08-18 14:22:00,2025-08-19 09:00:00,Active,"Users;Groups","DisplayName;Department;LastLogon;AccountStatus;Groups","AccountStatus = Enabled","IT Team;HR Team",Daily,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Infrastructure Health Report,Server and infrastructure status overview,Dashboard,Operations,"David Thompson",2025-02-10 09:15:00,2025-08-17 16:45:00,2025-08-19 08:00:00,Active,"Infrastructure;Databases","ServerName;Status;LastSeen;OperatingSystem;Location","Status != Offline","Operations Team;IT Management",Weekly,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Application Inventory,Comprehensive application deployment report,Tabular,Compliance,"Ashley Moore",2025-03-05 11:20:00,2025-08-16 13:30:00,2025-08-18 15:30:00,Active,"Applications","Name;Version;ServerName;LicenseType;UserCount","RiskLevel = High","Compliance Team;IT Management",Monthly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Security Group Analysis,Analysis of security group memberships and permissions,Matrix,Security,"Andrew Harris",2025-04-12 14:45:00,2025-08-15 10:20:00,2025-08-19 07:30:00,Active,"Groups;Users","GroupName;MemberCount;GroupType;Members","GroupType = Security","Security Team;Audit Team",Weekly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Database Performance Metrics,Database size and performance statistics,Chart,Performance,"Christopher Garcia",2025-05-20 16:10:00,2025-08-14 12:15:00,2025-08-19 06:00:00,Active,"Databases","DatabaseName;SizeMB;Status;LastBackup;UserCount","SizeMB > 1000","Database Team;IT Management",Daily,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
File Share Usage Report,File server utilization and capacity planning,Tabular,Storage,"Robert Wilson",2025-06-08 08:30:00,2025-08-13 15:40:00,2025-08-18 20:00:00,Active,"FileServers","ServerName;ShareName;TotalSizeGB;CurrentUsers;LastAccessed","TotalSizeGB > 100","Storage Team;Operations",Weekly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Group Policy Compliance,Group policy status and compliance report,Tabular,Compliance,"John Smith",2025-07-15 13:25:00,2025-08-12 11:30:00,2025-08-17 09:15:00,Active,"GroupPolicies","Name;Status;LinkedTo;Version;ModificationTime","Status = Enabled","Compliance Team;IT Security",Monthly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Project Status Dashboard,Real-time project progress and milestone tracking,Dashboard,Management,"Emily Davis",2025-08-01 10:00:00,2025-08-19 09:30:00,2025-08-19 09:30:00,Active,"Projects","ProjectName;ProgressPercentage;Status;DueDate;RiskLevel","Status = In Progress","Project Managers;Executive Team",Daily,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Legacy System Inventory,Identification of legacy systems requiring attention,Tabular,Risk Assessment,"Christopher Garcia",2025-02-28 12:45:00,2025-08-11 14:50:00,2025-08-16 11:20:00,Active,"Infrastructure;Applications","Name;Version;LastSeen;SupportStatus;RiskLevel","RiskLevel IN (High,Critical)","IT Management;Security Team",Monthly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
License Utilization Analysis,Software license usage and optimization opportunities,Chart,Financial,"Emily Davis",2025-03-20 15:30:00,2025-08-10 09:45:00,2025-08-15 14:30:00,Active,"Applications","Name;LicenseCount;UserCount;LicenseType;ServerName","LicenseType != Free","Finance Team;IT Management",Quarterly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
User Access Audit,User access rights and permission audit,Matrix,Security,"Andrew Harris",2025-04-05 11:15:00,2025-08-09 16:20:00,2025-08-14 08:45:00,Active,"Users;Groups;FileServers","UserName;Groups;ShareAccess;LastLogon;Department","LastLogon > 30 days ago","Audit Team;HR Team",Monthly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Backup Status Report,Backup job status and recovery point objectives,Tabular,Operations,"David Thompson",2025-05-10 09:20:00,2025-08-08 13:10:00,2025-08-19 06:15:00,Active,"Databases;Infrastructure","ServerName;LastBackup;BackupType;Status;SizeMB","LastBackup < 7 days ago","Backup Team;Operations",Daily,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Network Device Inventory,Network infrastructure device catalog,Tabular,Infrastructure,"David Thompson",2025-06-25 14:40:00,2025-08-07 10:25:00,2025-08-13 16:00:00,Active,"Infrastructure","Name;Type;IPAddress;Location;Manufacturer;Model","Type LIKE %Switch% OR %Router%","Network Team;Operations",Weekly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Privileged Account Report,Accounts with elevated privileges tracking,Tabular,Security,"Andrew Harris",2025-07-03 16:55:00,2025-08-06 12:35:00,2025-08-12 10:20:00,Active,"Users;Groups","DisplayName;Groups;LastLogon;PasswordLastSet;Department","Groups CONTAINS Admin","Security Team;Compliance",Weekly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Storage Capacity Planning,Storage utilization trends and capacity forecasting,Chart,Planning,"Ryan Jackson",2025-08-15 11:40:00,2025-08-19 08:15:00,2025-08-19 08:15:00,Active,"FileServers;Databases","ServerName;TotalSizeGB;AvailableSpaceGB;UsagePercentage;TrendAnalysis","UsagePercentage > 70","Storage Team;Planning",Weekly,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Compliance Violation Summary,Summary of policy violations and non-compliance issues,Tabular,Compliance,"Jessica Thomas",2025-07-20 13:20:00,2025-08-05 15:45:00,2025-08-11 09:30:00,Active,"GroupPolicies;Users;Infrastructure","ViolationType;Severity;AffectedSystems;ComplianceStatus;RemediationRequired","ComplianceStatus = Non-Compliant","Compliance Team;Legal",Monthly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Executive Summary Dashboard,High-level KPIs and metrics for executive review,Dashboard,Executive,"Michael Brown",2025-01-01 08:00:00,2025-08-19 07:00:00,2025-08-19 07:00:00,Active,"Projects;Infrastructure;Users;Applications","TotalUsers;ActiveProjects;SystemHealth;SecurityScore;ProjectProgress","Status = Active","Executive Team",Daily,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Change Management Log,Log of all system and configuration changes,Tabular,Audit,"John Smith",2025-06-01 10:30:00,2025-08-04 14:20:00,2025-08-10 12:45:00,Active,"GroupPolicies;Infrastructure;Applications","ChangeDate;ChangedBy;ChangeType;SystemAffected;ChangeDescription","ChangeDate > Last 30 days","Change Management;Audit",Weekly,Excel,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Vendor and License Expiry,Upcoming license and support contract expirations,Tabular,Financial,"Emily Davis",2025-05-15 12:15:00,2025-08-03 11:40:00,2025-08-09 15:20:00,Active,"Applications;Infrastructure","Vendor;ProductName;ExpiryDate;LicenseType;RenewalCost","ExpiryDate < 90 days from now","Finance Team;Procurement",Monthly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Help Desk Ticket Analysis,Analysis of support ticket trends and resolution times,Chart,Operations,"Ashley Moore",2025-07-10 09:45:00,2025-08-02 16:30:00,2025-08-08 11:15:00,Active,"TicketSystem","TicketType;Priority;ResolutionTime;AssignedTo;Category","Status = Resolved","Help Desk;IT Management",Weekly,HTML,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001
Monthly Security Metrics,Monthly security posture and incident summary,Dashboard,Security,"Andrew Harris",2025-04-30 17:00:00,2025-08-01 13:25:00,2025-08-07 10:00:00,Active,"Security;Infrastructure;Users","IncidentCount;VulnerabilityCount;PatchStatus;UserTrainingCompletion","Month = Current","Security Team;Executive",Monthly,PDF,2025-08-19 10:30:00,ReportingEngine,SES-20250819-001