ControlId,ControlName,Framework,Category,Description,Status,ImplementationStatus,Owner,Evidence,LastAssessed,NextReview,Findings,Remediation,RiskRating,IsCompliant
ISO-A.9.1.1,Access Control Policy,ISO27001,Access Control,An access control policy shall be established documented and reviewed,Compliant,Implemented,IT Security Team,Access Control Policy v2.1 Last Review: 2024-01-15,2024-02-15T10:30:00Z,2024-05-15T10:30:00Z,Policy is current and well-documented,None required,2,True
NIST-AC-2,Account Management,NIST,Access Control,The organization manages information system accounts,Partially_Compliant,In Progress,IT Security Team,Account management procedures documented,2024-03-10T14:20:00Z,2024-04-30T14:20:00Z,Missing automated account lifecycle management,Implement automated account provisioning/deprovisioning,6,False
SOC2-CC6.1,Logical and Physical Access Controls,SOC2,Access Control,The entity implements logical access security software,Non_Compliant,Not Implemented,IT Security Team,No evidence provided,2024-02-08T09:45:00Z,2024-04-15T09:45:00Z,Missing multi-factor authentication for privileged accounts,Deploy MFA solution for all privileged access,8,False
ISO-A.12.1.2,Malware Protection,ISO27001,System Security,Detection reporting and recovery from malware attacks,Compliant,Implemented,IT Security Team,Antivirus deployment report; Latest signature updates,2024-03-05T11:15:00Z,2024-06-05T11:15:00Z,All systems have updated antivirus protection,Monitor for new threats and update signatures,3,True
NIST-SI-2,Flaw Remediation,NIST,System Integrity,The organization identifies reports and corrects information system flaws,Partially_Compliant,In Progress,Infrastructure Team,Patch management procedure documented,2024-03-01T16:30:00Z,2024-04-01T16:30:00Z,Patch deployment process needs automation,Implement automated patch management system,5,False
SOC2-CC7.1,System Monitoring,SOC2,Monitoring,The entity monitors system components and the operation of controls,Compliant,Implemented,Security Operations,SIEM implementation and monitoring procedures,2024-03-20T08:45:00Z,2024-06-20T08:45:00Z,Comprehensive monitoring in place with 24/7 SOC,Enhance alerting for critical events,2,True
ISO-A.13.1.1,Network Controls,ISO27001,Communications Security,Network controls shall be managed and controlled,Compliant,Implemented,Network Team,Firewall configuration and network segmentation documentation,2024-02-28T13:20:00Z,2024-05-28T13:20:00Z,Network properly segmented with appropriate controls,Regular review of firewall rules,3,True
NIST-CM-2,Baseline Configuration,NIST,Configuration Management,The organization develops documents and maintains baseline configurations,Non_Compliant,Planning,IT Operations,Configuration baselines in development,2024-01-25T15:40:00Z,2024-04-25T15:40:00Z,Baseline configurations not fully documented,Complete baseline documentation for all systems,7,False
SOC2-CC8.1,Change Management,SOC2,Change Management,The entity authorizes system changes and updates,Compliant,Implemented,Change Management Board,Change management process documentation and approval records,2024-03-15T12:10:00Z,2024-06-15T12:10:00Z,Robust change management process with proper approvals,Continue following established procedures,2,True
ISO-A.18.1.1,Compliance Requirements,ISO27001,Legal and Regulatory,All relevant statutory regulatory and contractual requirements,Partially_Compliant,In Progress,Compliance Team,Legal requirements analysis and gap assessment,2024-03-12T09:30:00Z,2024-04-12T09:30:00Z,Some regulatory requirements not fully addressed,Update policies to address all regulatory requirements,5,False
NIST-IR-4,Incident Handling,NIST,Incident Response,The organization implements an incident handling capability,Compliant,Implemented,Incident Response Team,Incident response plan and training records,2024-02-20T14:50:00Z,2024-05-20T14:50:00Z,Well-documented incident response procedures,Conduct regular tabletop exercises,3,True
SOC2-CC9.1,Risk Assessment,SOC2,Risk Management,The entity assesses risks to meeting its objectives,Partially_Compliant,In Progress,Risk Management,Risk assessment framework and initial assessments,2024-03-08T11:25:00Z,2024-04-08T11:25:00Z,Risk assessment process needs regular review cycles,Implement quarterly risk assessments,4,False
ISO-A.8.2.1,Classification Guidelines,ISO27001,Information Classification,Information shall be classified in terms of legal requirements,Compliant,Implemented,Data Governance,Data classification policy and implementation guidelines,2024-02-10T10:15:00Z,2024-05-10T10:15:00Z,Data classification policy well-established,Train users on data handling requirements,2,True
NIST-AU-3,Audit Record Content,NIST,Audit and Accountability,The information system generates audit records containing information,Compliant,Implemented,Security Operations,Audit log configuration and retention policies,2024-03-18T16:40:00Z,2024-06-18T16:40:00Z,Comprehensive audit logging implemented,Review log retention requirements,3,True
SOC2-CC5.1,Control Environment,SOC2,Control Environment,The entity establishes structures reporting lines and appropriate authorities,Compliant,Implemented,Executive Management,Organizational structure and governance documentation,2024-01-30T08:20:00Z,2024-04-30T08:20:00Z,Clear governance structure and reporting lines,Annual review of organizational structure,2,True
ISO-A.16.1.1,Incident Reporting,ISO27001,Incident Management,Information security events shall be reported through appropriate management channels,Compliant,Implemented,Security Team,Incident reporting procedures and escalation matrix,2024-03-22T13:35:00Z,2024-06-22T13:35:00Z,Clear incident reporting and escalation procedures,Update contact information quarterly,2,True
NIST-SC-7,Boundary Protection,NIST,System Communications Protection,The information system monitors and controls communications,Compliant,Implemented,Network Security,Network architecture documentation and boundary controls,2024-02-25T15:10:00Z,2024-05-25T15:10:00Z,Network boundaries properly protected with firewalls,Regular firewall rule review and optimization,3,True
SOC2-CC6.8,Logical Access Security,SOC2,Logical Access,The entity restricts logical access to system resources,Partially_Compliant,In Progress,Identity Management,Identity and access management system documentation,2024-03-25T12:45:00Z,2024-04-25T12:45:00Z,Access controls implemented but need regular review,Implement quarterly access reviews,4,False
ISO-A.14.2.1,Secure Development Policy,ISO27001,System Development,Information security policy for system development,Non_Compliant,Planning,Development Team,Secure development guidelines in draft,2024-01-15T14:00:00Z,2024-04-15T14:00:00Z,Secure development practices not fully implemented,Complete secure development lifecycle implementation,6,False
NIST-RA-3,Risk Assessment,NIST,Risk Assessment,The organization conducts an assessment of risk,Compliant,Implemented,Risk Management,Enterprise risk assessment reports and methodologies,2024-02-18T11:55:00Z,2024-05-18T11:55:00Z,Comprehensive risk assessment process in place,Continue regular risk assessments,3,True