Name,Type,Vendor,Model,Version,IPAddress,Location,Status,LastSeen,ConfigurationStatus,IsManaged,ManagementServer,Policies,AlertCount,Health
Main Firewall,Firewall,Cisco,ASA 5516-X,9.14.2,192.168.1.1,Data Center,Online,2024-03-25T10:25:00Z,Configured,True,MGMT01,Corporate Security Policy,2,Healthy
Secondary Firewall,Firewall,Cisco,ASA 5512-X,9.12.4,192.168.1.2,Data Center,Online,2024-03-25T10:20:00Z,Configured,True,MGMT01,Corporate Security Policy,1,Healthy
Edge Firewall,Firewall,SonicWall,TZ570,7.0.1-5035,192.168.2.1,Branch Office,Online,2024-03-25T10:15:00Z,Configured,True,MGMT01,Branch Security Policy,0,Healthy
IDS Sensor,IDS,Snort,Enterprise,3.1.45,192.168.1.10,Data Center,Online,2024-03-25T10:22:00Z,Configured,True,MGMT01,Intrusion Detection Policy,15,Warning
IPS Appliance,IPS,Fortinet,FortiGate 100F,7.0.8,192.168.1.15,Data Center,Online,2024-03-25T10:18:00Z,Configured,True,MGMT01,Intrusion Prevention Policy,8,Healthy
Web Proxy,Proxy,Blue Coat,ProxySG 900,6.7.5.1,192.168.1.20,Data Center,Online,2024-03-25T10:28:00Z,Configured,True,MGMT01,Web Security Policy,5,Healthy
VPN Gateway,VPN,Cisco,ASA 5525-X,9.16.1,192.168.1.5,Data Center,Online,2024-03-25T10:30:00Z,Configured,True,MGMT01,VPN Access Policy,0,Healthy
DNS Security Appliance,DNS,Infoblox,NIOS 8500,8.6.2,192.168.1.25,Data Center,Online,2024-03-25T10:26:00Z,Configured,True,MGMT01,DNS Security Policy,3,Healthy
Email Security Gateway,Email,Proofpoint,8200,8.18.4,192.168.1.30,Data Center,Online,2024-03-25T10:24:00Z,Configured,True,MGMT01,Email Security Policy,12,Warning
Network Access Control,NAC,Cisco,ISE 3415,3.1,192.168.1.35,Data Center,Online,2024-03-25T10:21:00Z,Configured,True,MGMT01,NAC Policy,4,Healthy
Load Balancer,Load Balancer,F5,Big-IP i4800,16.1.2,192.168.1.40,Data Center,Online,2024-03-25T10:27:00Z,Configured,True,MGMT01,Load Balancing Policy,1,Healthy
Wireless Controller,Wireless,Cisco,WLC 5520,8.10.162,192.168.1.45,Data Center,Online,2024-03-25T10:23:00Z,Configured,True,MGMT01,Wireless Security Policy,2,Healthy
SIEM Appliance,SIEM,Splunk,Enterprise 8000,9.0.3,192.168.1.50,Data Center,Online,2024-03-25T10:29:00Z,Configured,True,MGMT01,SIEM Collection Policy,25,Healthy
DLP Appliance,DLP,Symantec,DLP 15700,15.8,192.168.1.55,Data Center,Offline,2024-03-24T15:45:00Z,Configured,True,MGMT01,Data Loss Prevention Policy,0,Critical
Vulnerability Scanner,Scanner,Tenable,Nessus Pro,10.4.2,192.168.1.60,Data Center,Online,2024-03-25T10:19:00Z,Configured,True,MGMT01,Vulnerability Scan Policy,18,Warning