"Severity","Category","File","Line","Message","Recommendation","Impact"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","1159","Function 'ConvertTo-DNSRecordObject' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","90","Function 'Write-AzureLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","129","Function 'EndOperation' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","310","Function 'Calculate-BackoffDelay' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","369","Function 'Write-MandALog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","410","Function 'Invoke-ProgressAwareBatch' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","610","Function 'Export-DiscoveryData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","594","Function 'Initialize-EnvironmentInfo' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","869","Function 'Determine-EnvironmentType' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","898","Function 'Write-EnvironmentSummary' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","918","Function 'ConvertTo-EnvironmentDataObject' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Discovery\ExchangeDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","1734","Function 'Convert-ToFlattenedData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","101","Function 'Write-SafeLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","1633","Function 'Convert-ToFlattenedFileServerData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\GPODiscovery.psm1","234","Function 'Convert-ToFlattenedGPOData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\GPODiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\GraphDiscovery.psm1","90","Function 'Write-GraphLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\GraphDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\IntuneDiscovery.psm1","121","Function 'Initialize-IntuneDiscovery' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\IntuneDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","90","Function 'Write-LicensingLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\LicensingDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\NetworkInfrastructureDiscovery.psm1","500","Function 'Convert-ToFlattenedNetworkData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\NetworkInfrastructureDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Discovery\SharePointDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Discovery\SQLServerDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Discovery\TeamsDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","343","Function 'Invoke-DataSourceAnalysis' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","378","Function 'Merge-UserProfiles' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","460","Function 'Merge-DeviceProfiles' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","714","Function 'Merge-DeviceProperties' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","725","Function 'ConvertFrom-OperatingSystem' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","737","Function 'Invoke-UserEnrichment' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\DataAggregation.psm1","797","Function 'Find-UserByIdentifier' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Processing\DataAggregation.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Processing\DataValidation.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Processing\UserProfileBuilder.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","437","Function 'Optimize-SharedMailboxWaves' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Processing\WaveGeneration.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Export\CompanyControlSheetExporter.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Export\CSVExport.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Export\ExcelExport.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Export\JSONExport.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Export\PowerAppsExporter.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\AuthenticationMonitoring.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\ConfigurationValidation.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\CredentialFormatHandler.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\CredentialFormatHandler_Simple.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\EnhancedLogging.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","103","Function 'Write-FallbackLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","175","Function 'AddErrorWithContext' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","232","Function 'Add-ErrorContext' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","856","Function 'Write-ErrorSummary' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ErrorHandling.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","262","Function 'Export-PhaseErrorReport' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","303","Function 'Build-ComprehensiveErrorReport' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","655","Function 'Export-ErrorReportToCsv' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","772","Function 'Export-ErrorReportToHtml' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","995","Function 'Export-ErrorSummaryText' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","1180","Function 'Export-ErrorAnalysis' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ErrorReporting.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","216","Function 'Initialize-ErrorReporting' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","334","Function 'Add-PhaseError' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","416","Function 'Add-ModuleResult' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ErrorReportingIntegration.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\FileOperations.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\FileValidation.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModuleHelpers.psm1","111","Function 'Initialize-MandAModuleContext' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ModuleHelpers.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ModulesHelper.psm1","111","Function 'Initialize-MandAModuleContext' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ModulesHelper.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","119","Function 'Initialize-PerformanceTracking' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","406","Function 'Calculate-SystemMetricsDelta' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","502","Function 'Start-PerformanceSession' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","543","Function 'Stop-PerformanceSession' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","850","Function 'Clear-PerformanceData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\PerformanceMetrics.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\PreFlightValidation.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","110","Function 'Show-SectionHeader' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","214","Function 'Update-TaskProgress' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","285","Function 'Complete-TaskProgress' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","310","Function 'Write-ProgressStep' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","363","Function 'Show-DiscoveryProgress' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","443","Function 'Show-ProgressBar' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ProgressDisplay.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","131","Function 'Initialize-ProgressTracker' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","171","Function 'Start-OperationTimer' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","206","Function 'Stop-OperationTimer' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","265","Function 'Update-StepProgress' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","308","Function 'Complete-ProgressTracker' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","424","Function 'Show-ProgressSummaryReport' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","491","Function 'Reset-ProgressTrackerInternal' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Utilities\ProgressTracking.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Utilities\ValidationHelpers.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Authentication\Authentication.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\CredentialManagement.psm1","399","Function 'Write-CredentialLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Authentication\CredentialManagement.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","148","Function 'EndOperation' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","329","Function 'Calculate-BackoffDelay' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","615","Function 'Export-DiscoveryData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Authentication\DiscoveryModuleBase.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Connectivity\ConnectionManager.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Connectivity\EnhancedConnectionManager.psm1","160","Function 'Show-ConnectionStatus' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Connectivity\EnhancedConnectionManager.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"ERROR","General","C:\UserMigration\Modules\Connectivity\UnifiedConnectionManager.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","Orchestrator","Core\MandA-Orchestrator.ps1","1414","Module invocation 'Invoke-DiscoveryPhase' may have parameter issues","Verify parameter names and types match module interface","Module calls may fail at runtime"
"WARN","Orchestrator","Core\MandA-Orchestrator.ps1","1423","Module invocation 'Invoke-DiscoveryPhase' may have parameter issues","Verify parameter names and types match module interface","Module calls may fail at runtime"
"INFO","Lifecycle","Core\MandA-Orchestrator.ps1","0","Modules imported but not explicitly removed","Consider implementing module cleanup for better resource management","Minor - modules will be cleaned up at session end"
